NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PDESOC||Personas Desocupadas
Alta Verapaz,Chahal,Hombre,0,344,
Alta Verapaz,Chahal,Hombre,1,364,
Alta Verapaz,Chahal,Hombre,2,337,
Alta Verapaz,Chahal,Hombre,3,422,
Alta Verapaz,Chahal,Hombre,4,373,
Alta Verapaz,Chahal,Hombre,5,371,
Alta Verapaz,Chahal,Hombre,6,403,
Alta Verapaz,Chahal,Hombre,7,343,
Alta Verapaz,Chahal,Hombre,7,2,Cesante
Alta Verapaz,Chahal,Hombre,8,356,
Alta Verapaz,Chahal,Hombre,9,374,
Alta Verapaz,Chahal,Hombre,9,1,Cesante
Alta Verapaz,Chahal,Hombre,10,341,
Alta Verapaz,Chahal,Hombre,10,1,Cesante
Alta Verapaz,Chahal,Hombre,11,284,
Alta Verapaz,Chahal,Hombre,12,269,
Alta Verapaz,Chahal,Hombre,13,315,
Alta Verapaz,Chahal,Hombre,14,283,
Alta Verapaz,Chahal,Hombre,14,1,Aspirante
Alta Verapaz,Chahal,Hombre,14,1,Cesante
Alta Verapaz,Chahal,Hombre,15,277,
Alta Verapaz,Chahal,Hombre,15,1,Aspirante
Alta Verapaz,Chahal,Hombre,15,4,Cesante
Alta Verapaz,Chahal,Hombre,16,328,
Alta Verapaz,Chahal,Hombre,16,1,Aspirante
Alta Verapaz,Chahal,Hombre,16,8,Cesante
Alta Verapaz,Chahal,Hombre,17,341,
Alta Verapaz,Chahal,Hombre,17,2,Aspirante
Alta Verapaz,Chahal,Hombre,17,6,Cesante
Alta Verapaz,Chahal,Hombre,18,357,
Alta Verapaz,Chahal,Hombre,18,2,Aspirante
Alta Verapaz,Chahal,Hombre,18,5,Cesante
Alta Verapaz,Chahal,Hombre,19,254,
Alta Verapaz,Chahal,Hombre,19,1,Aspirante
Alta Verapaz,Chahal,Hombre,19,5,Cesante
Alta Verapaz,Chahal,Hombre,20,274,
Alta Verapaz,Chahal,Hombre,20,2,Aspirante
Alta Verapaz,Chahal,Hombre,20,6,Cesante
Alta Verapaz,Chahal,Hombre,21,260,
Alta Verapaz,Chahal,Hombre,21,2,Aspirante
Alta Verapaz,Chahal,Hombre,21,8,Cesante
Alta Verapaz,Chahal,Hombre,22,278,
Alta Verapaz,Chahal,Hombre,22,1,Aspirante
Alta Verapaz,Chahal,Hombre,22,5,Cesante
Alta Verapaz,Chahal,Hombre,23,261,
Alta Verapaz,Chahal,Hombre,23,1,Aspirante
Alta Verapaz,Chahal,Hombre,23,5,Cesante
Alta Verapaz,Chahal,Hombre,24,231,
Alta Verapaz,Chahal,Hombre,24,4,Cesante
Alta Verapaz,Chahal,Hombre,25,253,
Alta Verapaz,Chahal,Hombre,25,1,Aspirante
Alta Verapaz,Chahal,Hombre,26,196,
Alta Verapaz,Chahal,Hombre,26,2,Aspirante
Alta Verapaz,Chahal,Hombre,26,2,Cesante
Alta Verapaz,Chahal,Hombre,27,205,
Alta Verapaz,Chahal,Hombre,27,2,Aspirante
Alta Verapaz,Chahal,Hombre,27,1,Cesante
Alta Verapaz,Chahal,Hombre,28,213,
Alta Verapaz,Chahal,Hombre,28,1,Cesante
Alta Verapaz,Chahal,Hombre,29,169,
Alta Verapaz,Chahal,Hombre,29,2,Cesante
Alta Verapaz,Chahal,Hombre,30,188,
Alta Verapaz,Chahal,Hombre,30,1,Cesante
Alta Verapaz,Chahal,Hombre,31,173,
Alta Verapaz,Chahal,Hombre,32,180,
Alta Verapaz,Chahal,Hombre,32,1,Aspirante
