NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_C||Dificulta caminar o subir escaleras
Alta Verapaz,Chahal,Hombre,0,344,
Alta Verapaz,Chahal,Hombre,1,364,
Alta Verapaz,Chahal,Hombre,2,337,
Alta Verapaz,Chahal,Hombre,3,422,
Alta Verapaz,Chahal,Hombre,4,21,No declarado
Alta Verapaz,Chahal,Hombre,4,1,No puede
Alta Verapaz,Chahal,Hombre,4,351,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,5,8,No declarado
Alta Verapaz,Chahal,Hombre,5,1,No puede
Alta Verapaz,Chahal,Hombre,5,361,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,5,1,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,6,7,No declarado
Alta Verapaz,Chahal,Hombre,6,395,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,6,1,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,7,3,No declarado
Alta Verapaz,Chahal,Hombre,7,1,No puede
Alta Verapaz,Chahal,Hombre,7,341,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,8,2,No declarado
Alta Verapaz,Chahal,Hombre,8,2,No puede
Alta Verapaz,Chahal,Hombre,8,350,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,8,2,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,9,5,No declarado
Alta Verapaz,Chahal,Hombre,9,368,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,9,2,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,10,4,No declarado
Alta Verapaz,Chahal,Hombre,10,338,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,11,1,No declarado
Alta Verapaz,Chahal,Hombre,11,281,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,11,2,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,12,4,No declarado
Alta Verapaz,Chahal,Hombre,12,265,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,13,1,No puede
Alta Verapaz,Chahal,Hombre,13,312,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,13,2,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,14,4,No declarado
Alta Verapaz,Chahal,Hombre,14,279,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,14,1,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,14,1,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,15,5,No declarado
Alta Verapaz,Chahal,Hombre,15,277,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,16,4,No declarado
Alta Verapaz,Chahal,Hombre,16,330,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,16,2,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,16,1,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,17,1,No declarado
Alta Verapaz,Chahal,Hombre,17,346,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,17,1,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,17,1,"Sí, con mucha dificultad"
Alta Verapaz,Chahal,Hombre,18,1,No declarado
Alta Verapaz,Chahal,Hombre,18,1,No puede
Alta Verapaz,Chahal,Hombre,18,359,"No, sin dificultad"
Alta Verapaz,Chahal,Hombre,18,2,"Sí, con algo de dificultad"
Alta Verapaz,Chahal,Hombre,18,1,"Sí, con mucha dificultad"
