NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP16_F||Dificultad para comunicarse
Zacapa,Cabañas,Hombre,0,135,
Zacapa,Cabañas,Hombre,1,142,
Zacapa,Cabañas,Hombre,2,131,
Zacapa,Cabañas,Hombre,3,154,
Zacapa,Cabañas,Hombre,4,21,No declarado
Zacapa,Cabañas,Hombre,4,136,"No, sin dificultad"
Zacapa,Cabañas,Hombre,5,4,No declarado
Zacapa,Cabañas,Hombre,5,2,No puede
Zacapa,Cabañas,Hombre,5,167,"No, sin dificultad"
Zacapa,Cabañas,Hombre,5,2,"Sí, con algo de dificultad"
Zacapa,Cabañas,Hombre,6,1,No declarado
Zacapa,Cabañas,Hombre,6,2,No puede
Zacapa,Cabañas,Hombre,6,171,"No, sin dificultad"
Zacapa,Cabañas,Hombre,6,1,"Sí, con algo de dificultad"
Zacapa,Cabañas,Hombre,7,130,"No, sin dificultad"
Zacapa,Cabañas,Hombre,7,1,"Sí, con algo de dificultad"
Zacapa,Cabañas,Hombre,7,1,"Sí, con mucha dificultad"
Zacapa,Cabañas,Hombre,8,2,No declarado
Zacapa,Cabañas,Hombre,8,156,"No, sin dificultad"
Zacapa,Cabañas,Hombre,8,1,"Sí, con algo de dificultad"
Zacapa,Cabañas,Hombre,8,1,"Sí, con mucha dificultad"
Zacapa,Cabañas,Hombre,9,144,"No, sin dificultad"
Zacapa,Cabañas,Hombre,10,1,No puede
Zacapa,Cabañas,Hombre,10,132,"No, sin dificultad"
Zacapa,Cabañas,Hombre,10,1,"Sí, con algo de dificultad"
Zacapa,Cabañas,Hombre,10,1,"Sí, con mucha dificultad"
Zacapa,Cabañas,Hombre,11,1,No declarado
Zacapa,Cabañas,Hombre,11,145,"No, sin dificultad"
Zacapa,Cabañas,Hombre,11,1,"Sí, con algo de dificultad"
Zacapa,Cabañas,Hombre,12,1,No declarado
Zacapa,Cabañas,Hombre,12,139,"No, sin dificultad"
Zacapa,Cabañas,Hombre,12,1,"Sí, con algo de dificultad"
