NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP17_A||Nivel Estudio Aprobado
Alta Verapaz,Chahal,Hombre,0,344,
Alta Verapaz,Chahal,Hombre,1,364,
Alta Verapaz,Chahal,Hombre,2,337,
Alta Verapaz,Chahal,Hombre,3,422,
Alta Verapaz,Chahal,Hombre,4,358,Ninguno
Alta Verapaz,Chahal,Hombre,4,15,Preprimaria
Alta Verapaz,Chahal,Hombre,5,281,Ninguno
Alta Verapaz,Chahal,Hombre,5,90,Preprimaria
Alta Verapaz,Chahal,Hombre,6,206,Ninguno
Alta Verapaz,Chahal,Hombre,6,175,Preprimaria
Alta Verapaz,Chahal,Hombre,6,22,Primaria
Alta Verapaz,Chahal,Hombre,7,81,Ninguno
Alta Verapaz,Chahal,Hombre,7,140,Preprimaria
Alta Verapaz,Chahal,Hombre,7,124,Primaria
Alta Verapaz,Chahal,Hombre,8,37,Ninguno
Alta Verapaz,Chahal,Hombre,8,60,Preprimaria
Alta Verapaz,Chahal,Hombre,8,259,Primaria
Alta Verapaz,Chahal,Hombre,9,26,Ninguno
Alta Verapaz,Chahal,Hombre,9,27,Preprimaria
Alta Verapaz,Chahal,Hombre,9,322,Primaria
Alta Verapaz,Chahal,Hombre,10,15,Ninguno
Alta Verapaz,Chahal,Hombre,10,8,Preprimaria
Alta Verapaz,Chahal,Hombre,10,319,Primaria
Alta Verapaz,Chahal,Hombre,11,11,Ninguno
Alta Verapaz,Chahal,Hombre,11,2,Preprimaria
Alta Verapaz,Chahal,Hombre,11,271,Primaria
Alta Verapaz,Chahal,Hombre,12,3,Ninguno
Alta Verapaz,Chahal,Hombre,12,3,Nivel medio (básico y diversificado)
Alta Verapaz,Chahal,Hombre,12,1,Preprimaria
Alta Verapaz,Chahal,Hombre,12,262,Primaria
Alta Verapaz,Chahal,Hombre,13,9,Ninguno
Alta Verapaz,Chahal,Hombre,13,29,Nivel medio (básico y diversificado)
Alta Verapaz,Chahal,Hombre,13,277,Primaria
Alta Verapaz,Chahal,Hombre,14,9,Ninguno
Alta Verapaz,Chahal,Hombre,14,56,Nivel medio (básico y diversificado)
Alta Verapaz,Chahal,Hombre,14,220,Primaria
Alta Verapaz,Chahal,Hombre,15,7,Ninguno
Alta Verapaz,Chahal,Hombre,15,93,Nivel medio (básico y diversificado)
Alta Verapaz,Chahal,Hombre,15,2,Preprimaria
Alta Verapaz,Chahal,Hombre,15,180,Primaria
Alta Verapaz,Chahal,Hombre,16,10,Ninguno
Alta Verapaz,Chahal,Hombre,16,144,Nivel medio (básico y diversificado)
Alta Verapaz,Chahal,Hombre,16,1,Preprimaria
Alta Verapaz,Chahal,Hombre,16,182,Primaria
Alta Verapaz,Chahal,Hombre,17,1,Licenciatura
Alta Verapaz,Chahal,Hombre,17,11,Ninguno
Alta Verapaz,Chahal,Hombre,17,178,Nivel medio (básico y diversificado)
Alta Verapaz,Chahal,Hombre,17,2,Preprimaria
Alta Verapaz,Chahal,Hombre,17,157,Primaria
Alta Verapaz,Chahal,Hombre,18,1,Licenciatura
Alta Verapaz,Chahal,Hombre,18,16,Ninguno
Alta Verapaz,Chahal,Hombre,18,208,Nivel medio (básico y diversificado)
Alta Verapaz,Chahal,Hombre,18,2,Preprimaria
Alta Verapaz,Chahal,Hombre,18,137,Primaria
Alta Verapaz,Chahal,Hombre,19,1,Licenciatura
Alta Verapaz,Chahal,Hombre,19,9,Ninguno
Alta Verapaz,Chahal,Hombre,19,141,Nivel medio (básico y diversificado)
