NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,POCUPA||Personas Ocupadas
Chiquimula,Camotán,Hombre,0,773,
Chiquimula,Camotán,Hombre,1,886,
Chiquimula,Camotán,Hombre,2,1006,
Chiquimula,Camotán,Hombre,3,799,
Chiquimula,Camotán,Hombre,4,832,
Chiquimula,Camotán,Hombre,5,854,
Chiquimula,Camotán,Hombre,6,724,
Chiquimula,Camotán,Hombre,7,789,
Chiquimula,Camotán,Hombre,7,5,Población ocupada
Chiquimula,Camotán,Hombre,8,724,
Chiquimula,Camotán,Hombre,8,4,Población ocupada
Chiquimula,Camotán,Hombre,9,765,
Chiquimula,Camotán,Hombre,9,12,Población ocupada
Chiquimula,Camotán,Hombre,10,805,
Chiquimula,Camotán,Hombre,10,9,Población ocupada
Chiquimula,Camotán,Hombre,11,736,
Chiquimula,Camotán,Hombre,11,8,Población ocupada
Chiquimula,Camotán,Hombre,12,715,
Chiquimula,Camotán,Hombre,12,17,Población ocupada
Chiquimula,Camotán,Hombre,13,714,
Chiquimula,Camotán,Hombre,13,54,Población ocupada
Chiquimula,Camotán,Hombre,14,634,
Chiquimula,Camotán,Hombre,14,76,Población ocupada
Chiquimula,Camotán,Hombre,15,628,
Chiquimula,Camotán,Hombre,15,122,Población ocupada
Chiquimula,Camotán,Hombre,16,527,
Chiquimula,Camotán,Hombre,16,156,Población ocupada
Chiquimula,Camotán,Hombre,17,524,
Chiquimula,Camotán,Hombre,17,198,Población ocupada
Chiquimula,Camotán,Hombre,18,458,
Chiquimula,Camotán,Hombre,18,255,Población ocupada
Chiquimula,Camotán,Hombre,19,353,
Chiquimula,Camotán,Hombre,19,244,Población ocupada
Chiquimula,Camotán,Hombre,20,328,
Chiquimula,Camotán,Hombre,20,254,Población ocupada
Chiquimula,Camotán,Hombre,21,299,
Chiquimula,Camotán,Hombre,21,233,Población ocupada
Chiquimula,Camotán,Hombre,22,305,
Chiquimula,Camotán,Hombre,22,237,Población ocupada
Chiquimula,Camotán,Hombre,23,282,
Chiquimula,Camotán,Hombre,23,250,Población ocupada
Chiquimula,Camotán,Hombre,24,240,
Chiquimula,Camotán,Hombre,24,236,Población ocupada
Chiquimula,Camotán,Hombre,25,224,
Chiquimula,Camotán,Hombre,25,231,Población ocupada
Chiquimula,Camotán,Hombre,26,214,
Chiquimula,Camotán,Hombre,26,168,Población ocupada
Chiquimula,Camotán,Hombre,27,183,
Chiquimula,Camotán,Hombre,27,188,Población ocupada
Chiquimula,Camotán,Hombre,28,195,
Chiquimula,Camotán,Hombre,28,180,Población ocupada
Chiquimula,Camotán,Hombre,29,178,
Chiquimula,Camotán,Hombre,29,149,Población ocupada
Chiquimula,Camotán,Hombre,30,202,
Chiquimula,Camotán,Hombre,30,182,Población ocupada
Chiquimula,Camotán,Hombre,31,128,
Chiquimula,Camotán,Hombre,31,132,Población ocupada
Chiquimula,Camotán,Hombre,32,178,
Chiquimula,Camotán,Hombre,32,176,Población ocupada
Chiquimula,Camotán,Hombre,33,152,
Chiquimula,Camotán,Hombre,33,176,Población ocupada
Chiquimula,Camotán,Hombre,34,128,
Chiquimula,Camotán,Hombre,34,144,Población ocupada
Chiquimula,Camotán,Hombre,35,157,
Chiquimula,Camotán,Hombre,35,137,Población ocupada
Chiquimula,Camotán,Hombre,36,151,
Chiquimula,Camotán,Hombre,36,134,Población ocupada
Chiquimula,Camotán,Hombre,37,153,
Chiquimula,Camotán,Hombre,37,133,Población ocupada
Chiquimula,Camotán,Hombre,38,138,
Chiquimula,Camotán,Hombre,38,145,Población ocupada
Chiquimula,Camotán,Hombre,39,138,
Chiquimula,Camotán,Hombre,39,104,Población ocupada
Chiquimula,Camotán,Hombre,40,132,
Chiquimula,Camotán,Hombre,40,143,Población ocupada
Chiquimula,Camotán,Hombre,41,109,
Chiquimula,Camotán,Hombre,41,95,Población ocupada
Chiquimula,Camotán,Hombre,42,115,
Chiquimula,Camotán,Hombre,42,118,Población ocupada
Chiquimula,Camotán,Hombre,43,112,
Chiquimula,Camotán,Hombre,43,102,Población ocupada
Chiquimula,Camotán,Hombre,44,107,
Chiquimula,Camotán,Hombre,44,99,Población ocupada
Chiquimula,Camotán,Hombre,45,90,
Chiquimula,Camotán,Hombre,45,109,Población ocupada
Chiquimula,Camotán,Hombre,46,95,
Chiquimula,Camotán,Hombre,46,83,Población ocupada
Chiquimula,Camotán,Hombre,47,74,
Chiquimula,Camotán,Hombre,47,97,Población ocupada
Chiquimula,Camotán,Hombre,48,73,
Chiquimula,Camotán,Hombre,48,69,Población ocupada
Chiquimula,Camotán,Hombre,49,85,
Chiquimula,Camotán,Hombre,49,66,Población ocupada
Chiquimula,Camotán,Hombre,50,80,
Chiquimula,Camotán,Hombre,50,71,Población ocupada
Chiquimula,Camotán,Hombre,51,68,
Chiquimula,Camotán,Hombre,51,56,Población ocupada
Chiquimula,Camotán,Hombre,52,71,
Chiquimula,Camotán,Hombre,52,69,Población ocupada
Chiquimula,Camotán,Hombre,53,75,
Chiquimula,Camotán,Hombre,53,63,Población ocupada
Chiquimula,Camotán,Hombre,54,65,
Chiquimula,Camotán,Hombre,54,62,Población ocupada
Chiquimula,Camotán,Hombre,55,55,
Chiquimula,Camotán,Hombre,55,47,Población ocupada
Chiquimula,Camotán,Hombre,56,66,
Chiquimula,Camotán,Hombre,56,55,Población ocupada
Chiquimula,Camotán,Hombre,57,64,
Chiquimula,Camotán,Hombre,57,53,Población ocupada
Chiquimula,Camotán,Hombre,58,74,
Chiquimula,Camotán,Hombre,58,68,Población ocupada
Chiquimula,Camotán,Hombre,59,62,
Chiquimula,Camotán,Hombre,59,65,Población ocupada
Chiquimula,Camotán,Hombre,60,79,
Chiquimula,Camotán,Hombre,60,58,Población ocupada
Chiquimula,Camotán,Hombre,61,45,
Chiquimula,Camotán,Hombre,61,37,Población ocupada
Chiquimula,Camotán,Hombre,62,48,
Chiquimula,Camotán,Hombre,62,35,Población ocupada
Chiquimula,Camotán,Hombre,63,56,
Chiquimula,Camotán,Hombre,63,36,Población ocupada
Chiquimula,Camotán,Hombre,64,46,
Chiquimula,Camotán,Hombre,64,42,Población ocupada
Chiquimula,Camotán,Hombre,65,63,
Chiquimula,Camotán,Hombre,65,40,Población ocupada
Chiquimula,Camotán,Hombre,66,48,
Chiquimula,Camotán,Hombre,66,35,Población ocupada
Chiquimula,Camotán,Hombre,67,37,
Chiquimula,Camotán,Hombre,67,33,Población ocupada
Chiquimula,Camotán,Hombre,68,49,
Chiquimula,Camotán,Hombre,68,32,Población ocupada
Chiquimula,Camotán,Hombre,69,51,
Chiquimula,Camotán,Hombre,69,24,Población ocupada
Chiquimula,Camotán,Hombre,70,52,
Chiquimula,Camotán,Hombre,70,25,Población ocupada
Chiquimula,Camotán,Hombre,71,55,
Chiquimula,Camotán,Hombre,71,20,Población ocupada
Chiquimula,Camotán,Hombre,72,40,
Chiquimula,Camotán,Hombre,72,19,Población ocupada
Chiquimula,Camotán,Hombre,73,48,
