NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP12||Autoidentificación
Huehuetenango,Aguacatán,Hombre,0,1,Afrodescendiente/Creole/Afromestizo
Huehuetenango,Aguacatán,Hombre,0,58,Ladina (o)
Huehuetenango,Aguacatán,Hombre,0,503,Maya
Huehuetenango,Aguacatán,Hombre,1,1,Afrodescendiente/Creole/Afromestizo
Huehuetenango,Aguacatán,Hombre,1,67,Ladina (o)
Huehuetenango,Aguacatán,Hombre,1,527,Maya
Huehuetenango,Aguacatán,Hombre,2,1,Afrodescendiente/Creole/Afromestizo
Huehuetenango,Aguacatán,Hombre,2,51,Ladina (o)
Huehuetenango,Aguacatán,Hombre,2,536,Maya
Huehuetenango,Aguacatán,Hombre,3,1,Extranjera (o)
Huehuetenango,Aguacatán,Hombre,3,2,Garífuna
Huehuetenango,Aguacatán,Hombre,3,57,Ladina (o)
Huehuetenango,Aguacatán,Hombre,3,536,Maya
Huehuetenango,Aguacatán,Hombre,4,1,Afrodescendiente/Creole/Afromestizo
Huehuetenango,Aguacatán,Hombre,4,52,Ladina (o)
Huehuetenango,Aguacatán,Hombre,4,555,Maya
Huehuetenango,Aguacatán,Hombre,5,60,Ladina (o)
Huehuetenango,Aguacatán,Hombre,5,513,Maya
Huehuetenango,Aguacatán,Hombre,6,1,Garífuna
Huehuetenango,Aguacatán,Hombre,6,64,Ladina (o)
Huehuetenango,Aguacatán,Hombre,6,530,Maya
Huehuetenango,Aguacatán,Hombre,7,1,Afrodescendiente/Creole/Afromestizo
Huehuetenango,Aguacatán,Hombre,7,62,Ladina (o)
Huehuetenango,Aguacatán,Hombre,7,535,Maya
Huehuetenango,Aguacatán,Hombre,8,2,Afrodescendiente/Creole/Afromestizo
Huehuetenango,Aguacatán,Hombre,8,53,Ladina (o)
Huehuetenango,Aguacatán,Hombre,8,506,Maya
Huehuetenango,Aguacatán,Hombre,9,1,Extranjera (o)
Huehuetenango,Aguacatán,Hombre,9,55,Ladina (o)
Huehuetenango,Aguacatán,Hombre,9,518,Maya
Huehuetenango,Aguacatán,Hombre,10,62,Ladina (o)
Huehuetenango,Aguacatán,Hombre,10,491,Maya
Huehuetenango,Aguacatán,Hombre,11,61,Ladina (o)
Huehuetenango,Aguacatán,Hombre,11,521,Maya
Huehuetenango,Aguacatán,Hombre,12,1,Garífuna
Huehuetenango,Aguacatán,Hombre,12,58,Ladina (o)
Huehuetenango,Aguacatán,Hombre,12,518,Maya
Huehuetenango,Aguacatán,Hombre,13,48,Ladina (o)
Huehuetenango,Aguacatán,Hombre,13,528,Maya
Huehuetenango,Aguacatán,Hombre,14,1,Afrodescendiente/Creole/Afromestizo
Huehuetenango,Aguacatán,Hombre,14,1,Garífuna
Huehuetenango,Aguacatán,Hombre,14,62,Ladina (o)
Huehuetenango,Aguacatán,Hombre,14,539,Maya
Huehuetenango,Aguacatán,Hombre,15,2,Afrodescendiente/Creole/Afromestizo
Huehuetenango,Aguacatán,Hombre,15,69,Ladina (o)
Huehuetenango,Aguacatán,Hombre,15,516,Maya
Huehuetenango,Aguacatán,Hombre,16,2,Afrodescendiente/Creole/Afromestizo
Huehuetenango,Aguacatán,Hombre,16,1,Extranjera (o)
Huehuetenango,Aguacatán,Hombre,16,2,Garífuna
Huehuetenango,Aguacatán,Hombre,16,73,Ladina (o)
Huehuetenango,Aguacatán,Hombre,16,520,Maya
Huehuetenango,Aguacatán,Hombre,17,68,Ladina (o)
Huehuetenango,Aguacatán,Hombre,17,445,Maya
Huehuetenango,Aguacatán,Hombre,18,1,Garífuna
Huehuetenango,Aguacatán,Hombre,18,65,Ladina (o)
Huehuetenango,Aguacatán,Hombre,18,455,Maya
Huehuetenango,Aguacatán,Hombre,19,56,Ladina (o)
Huehuetenango,Aguacatán,Hombre,19,375,Maya
Huehuetenango,Aguacatán,Hombre,20,57,Ladina (o)
Huehuetenango,Aguacatán,Hombre,20,359,Maya
Huehuetenango,Aguacatán,Hombre,21,48,Ladina (o)
Huehuetenango,Aguacatán,Hombre,21,327,Maya
Huehuetenango,Aguacatán,Hombre,22,50,Ladina (o)
Huehuetenango,Aguacatán,Hombre,22,376,Maya
Huehuetenango,Aguacatán,Hombre,23,1,Extranjera (o)
Huehuetenango,Aguacatán,Hombre,23,58,Ladina (o)
Huehuetenango,Aguacatán,Hombre,23,347,Maya
Huehuetenango,Aguacatán,Hombre,24,44,Ladina (o)
Huehuetenango,Aguacatán,Hombre,24,359,Maya
Huehuetenango,Aguacatán,Hombre,25,50,Ladina (o)
Huehuetenango,Aguacatán,Hombre,25,309,Maya
Huehuetenango,Aguacatán,Hombre,26,41,Ladina (o)
Huehuetenango,Aguacatán,Hombre,26,306,Maya
Huehuetenango,Aguacatán,Hombre,27,37,Ladina (o)
Huehuetenango,Aguacatán,Hombre,27,281,Maya
Huehuetenango,Aguacatán,Hombre,28,1,Garífuna
Huehuetenango,Aguacatán,Hombre,28,44,Ladina (o)
Huehuetenango,Aguacatán,Hombre,28,257,Maya
Huehuetenango,Aguacatán,Hombre,29,38,Ladina (o)
Huehuetenango,Aguacatán,Hombre,29,234,Maya
Huehuetenango,Aguacatán,Hombre,30,34,Ladina (o)
Huehuetenango,Aguacatán,Hombre,30,229,Maya
Huehuetenango,Aguacatán,Hombre,31,1,Garífuna
Huehuetenango,Aguacatán,Hombre,31,25,Ladina (o)
